3年1組,C31
3年2組,C32
3年3組,C33
3年4組,C34
3年理探,C3R
3年国探,C3K
2年1組,C21
2年2組,C22
2年3組,C23
2年4組,C24
2年理探,C2R
2年国探,C2K
1年1組,C11
1年2組,C12
1年3組,C13
1年4組,C14
1年5組,C15
1年6組,C16
